ID,이름,위도,경도,지역코드
147,Tina`s Homestay,37.50590505,127.0952288,1
148,더메이 포레스트빌,37.56241635,127.0073907,1
149,스타리아호스텔,37.5584831,126.9861039,1
150,레이지폭스,37.55357404,126.9139773,1
151,나루게스트하우스,37.5513827,126.9179214,1
152,레드,37.55839975,126.9847596,1
153,어반우드,37.55571847,126.9268538,1
154,예하도예 게스트하우스(YEHADOYE guesthouse),37.57440623,126.9850702,1
155,소소하우스 [한국관광 품질인증/Korea Quality],37.58027746,126.9681271,1
156,레스케이프 호텔 (L’Escape Hotel),37.55971895,126.9795572,1
157,호텔 유니크바이포레,37.60382086,127.0622679,1
158,호텔 더 디자이너스 청량리,37.58176761,127.047656,1
159,멀티스페이스 곳 [한국관광 품질인증/Korea Quality],37.57970565,126.9872921,1
160,힐하우스 호텔 [한국관광 품질인증/Korea Quality],37.5568471,126.981971,1
161,대우모텔(호텔 대우 인) [한국관광 품질인증/Korea Quality],37.56275745,126.977849,1
162,호텔큐비(호텔QB) [한국관광 품질인증/Korea Quality],37.57186259,127.0134566,1
163,프레이저 플레이스 센트럴 서울,37.56542085,126.9675887,1
164,이화한옥,37.58164674,126.9674549,1
165,호텔 카푸치노,37.5096951,127.0293736,1
166,헬레나 홈스테이,37.50156335,127.0653761,1
167,포포인츠 바이 쉐라톤 서울 구로,37.48323194,126.8988612,1
168,리버사이드게스트하우스[한국관광 품질인증/Korea Quality],37.53298788,127.0873259,1
169,세화호스텔[한국관광 품질인증/Korea Quality],37.57478961,126.9903503,1
170,유진하우스[한국관광 품질인증/Korea Quality],37.59044353,127.0003128,1
171,서울앤호텔 동대문,37.57337921,127.0208531,1
172,응정헌 [한국관광 품질인증/Korea Quality],37.64031997,126.9396891,1
173,일루와유 달보루,37.64129206,126.938742,1
174,청향재,37.64170593,126.9401974,1
175,락고재 서울 북촌 한옥호텔 [한국관광 품질인증/Korea Quality],37.58018335,126.9860755,1
176,한옥 게스트하우스 동촌재 [한국관광 품질인증/Korea Quality],37.58011085,126.9698548,1
177,명동게스트하우스 꼬모 [한국관광 품질인증/Korea Quality],37.56047733,126.9872287,1
178,하은재 [한국관광 품질인증/Korea Quality],37.58193844,126.9712824,1
179,정스패밀리 [한국관광 품질인증/Korea Quality],37.53387977,126.9512744,1
180,스테이 데이 오프 [한국관광 품질인증/Korea Quality],37.5773112,126.9712158,1
181,누와 [한국관광 품질인증/Korea Quality],37.57963031,126.9677966,1
182,일독일박 [한국관광 품질인증/Korea Quality],37.57853878,126.9685688,1
183,라마다 호텔앤스위트 서울남대문 [한국관광 품질인증/Korea Quality],37.55998822,126.9720107,1
184,신촌 시스터즈 [한국관광 품질인증/Korea Quality],37.55395494,126.9356725,1
185,페어몬트 앰배서더 서울 (Fairmont Ambassador Seoul),37.52596917,126.9283267,1
186,트레블로지 명동 시티홀,37.56310464,126.9780962,1
187,트레블로지 동대문 호텔,37.56648245,127.0019078,1
188,서울한옥스테이(jnpstay) [한국관광 품질인증/Korea Quality],37.57696123,126.9708798,1
189,"조선 팰리스 서울 강남, 럭셔리 컬렉션 호텔 (Josun Palace, a Luxury Collection Hotel, Seoul Gangnam)",37.50293499,127.0413727,1
190,루민북촌 [한국관광 품질인증/Korea Quality],37.58156371,126.9841423,1
191,오클라우드호텔 [한국관광 품질인증/Korea Quality],37.50309298,127.0237187,1
192,위고인호스텔,37.55691581,126.9415885,1
193,린다픽 [한국관광 품질인증/Korea Quality],37.53581362,126.9922179,1
194,포포인츠 바이 쉐라톤 조선 서울 명동,37.56562955,126.9894367,1
195,라이프스타일 F호텔,37.517181,126.9112341,1
