ID,이름,위도,경도,지역코드
121,제주드림타워복합리조트,33.48529239,126.4814716,3
122,논짓물,33.2369517,126.3881241,3
123,제주신흥해수욕장,33.55197935,126.6485444,3
124,글라스하우스,33.43025009,126.9280674,3
125,제주샘주 공장,33.44446963,126.33741,3
126,종달리수국길,33.50997428,126.9073118,3
127,세화해변,33.5244858,126.8605739,3
128,위미1리어촌체험마을,33.27103556,126.6587527,3
129,알작지,33.49620443,126.4412415,3
130,사계해안,33.20952857,126.3145089,3
131,거문오름 [세계자연유산],33.45691592,126.7147325,3
132,김녕오조해안도로,33.56402728,126.7759997,3
133,종달리해변,33.51312935,126.8989125,3
134,비자림,33.48625306,126.8074905,3
135,대평포구,33.23651523,126.3620209,3
136,제주목관아,33.51370378,126.5220646,3
137,퍼시픽 리솜,33.24501791,126.4156521,3
138,상효원수목원/상효원,33.30724429,126.5860193,3
139,천지연 걸매생태공원,33.24996401,126.5551177,3
140,제주다원 녹차미로공원,33.2971261,126.4188396,3
141,김녕성세기해변 (김녕해수욕장),33.55667783,126.7596485,3
142,낭만농장 귤밭76번지,33.28308791,126.3651584,3
143,협재해변,33.39377648,126.2394419,3
144,돈내코(원앙폭포),33.30052553,126.582017,3
145,방사탑(제주),33.54819924,126.6507304,3
146,천왕사(제주),33.40774008,126.4950471,3
147,아홉굿마을,33.32784746,126.2264223,3
148,노을해안로,33.25637443,126.202762,3
149,제주선인장마을,33.37520038,126.2156555,3
150,제주 노루생태관찰원,33.44445478,126.626621,3
151,서귀포잠수함,33.23922914,126.5587093,3
152,금룡사(제주),33.55397248,126.7536019,3
153,따라비 오름,33.38594378,126.750331,3
154,종달항 (두문포항),33.49658137,126.9106757,3
155,정방폭포,33.24503982,126.5716053,3
156,해맞이해안로,33.5504227,126.7427252,3
157,송당 제주살롱,33.47104323,126.782593,3
158,선흘 동백동산/곶자왈 (제주도 국가지질공원),33.51045451,126.7188282,3
159,제주 성산항,33.47254822,126.9299218,3
160,어멍아방잔치마을,33.36192011,126.8405571,3
161,섭지코지,33.43025009,126.9280674,3
162,사계해변,33.2255349,126.2993238,3
163,서귀포유람선 뉴파라다이스호,33.23919303,126.5584621,3
164,전농로,33.50459638,126.5171791,3
165,서귀포항,33.2391598,126.5648727,3
166,왕이메오름,33.34100945,126.3751813,3
167,포레스트사파리,33.46309294,126.7095828,3
168,탑동광장,33.51818945,126.5251198,3
169,산방산(제주),33.23626724,126.3115002,3
170,성이시돌목장 테쉬폰,33.34762742,126.3280769,3
171,우도 등대,33.49208555,126.9665932,3
172,수목원테마파크(아이스뮤지엄),33.47068856,126.4879352,3
173,세화 책다방,33.55710612,126.7939011,3
174,곽지해수욕장 (곽지과물해변),33.44603005,126.3043962,3
175,모충사,33.51617335,126.5470457,3
176,성이시돌목장,33.35016878,126.3267464,3
177,관음사(제주),33.42376153,126.5581441,3
178,사라봉공원,33.51806202,126.5460485,3
179,한라산소주 공장투어,33.40779741,126.2561568,3
180,제주조각공원(포레스트 판타지아),33.25410988,126.3223489,3
181,주상절리대(대포동지삿개),33.23800218,126.426118,3
182,자구내포구,33.30939021,126.1651502,3
183,제주 유수암마을,33.44137934,126.4030877,3
184,비양도,33.40811081,126.2274926,3
185,섯알오름,33.2042092,126.2815563,3
186,신화테마파크,33.30651775,126.3076046,3
187,제주탐나라공화국,33.33451216,126.3256857,3
188,인디고트리,33.26382486,126.634841,3
189,구엄리돌염전,33.4789304,126.381211,3
190,엉또폭포,33.26775561,126.4991777,3
191,연화못(하가못),33.45474643,126.34752,3
192,제주도 국가지질공원,33.45690203,126.7142576,3
193,천지연폭포 (제주도 국가지질공원),33.24453413,126.559473,3
194,석부작박물관,33.25031923,126.5360194,3
195,안성리수국길,33.269702,126.2837741,3
196,한라산 백록담,33.3444755,126.5364394,3
197,소정방폭포,33.24511768,126.577327,3
198,한라수목원,33.46976928,126.4921488,3
199,중문관광단지,33.25489179,126.4136493,3
200,백약이오름,33.43723598,126.7901986,3
201,충렬사,35.19906869,129.0966207,2
202,광복로문화패션거리,35.09910368,129.0312902,2
203,남도해양관광열차 S-트레인(S-train),35.11527152,129.0424332,2
204,은진사,35.33604835,129.2765262,2
205,해리단길,35.16487921,129.1576302,2
206,유치환 우체통 전망대,35.12211227,129.033831,2
207,천성항 방파제등대,35.02821876,128.8148915,2
208,미포,35.15890512,129.1706181,2
209,삼익비치수변공원,35.14622773,129.1152455,2
210,허심청,35.22113541,129.0826824,2
211,영도 하늘전망대,35.07196271,129.0548556,2
212,장안사계곡,35.3744349,129.2328151,2
213,대항선착장,35.01232908,128.8259993,2
214,광안리 SUP Zone,35.14773867,129.1146733,2
215,관음사,35.10910432,128.9758059,2
